claim_number, claim_percent, claim_amount, remaining_supply
110, 989158650621158887, 889731396221949221510239963, 89058569178536949038607385045
111, 989059734756096772, 880842448094812500001270548, 88177726730442136538606114497
112, 988960828782621163, 872043177075055432017837693, 87305683553367081106588276804
113, 988861932699742901, 863332669742547292116826509, 86442350883624533814471450295
114, 988763046506472927, 854710022068740960435171440, 85587640861555792854036278855
115, 988664170201822280, 846174339319216356692280632, 84741466522236576497343998223
116, 988565303784802098, 837724735957244381970275771, 83903741786279332115373722452
117, 988466447254423618, 829360335548360583146194279, 83074381450730971532227528173
118, 988367600609698176, 821080270665937874218149518, 82253301180065033658009378655
119, 988268763849637207, 812883682797747761539145529, 81440417497267285896470233126
120, 988169936973252244, 804769722253499631607209427, 80635647775013786264863023699
121, 988071119979554919, 796737548073347774599161978, 79838910226940438490263861721
122, 987972312867556964, 788786327937355922670727747, 79050123899003082567593133974
123, 987873515636270209, 780915238075909190265780405, 78269208660927173377327353569
124, 987774728284706582, 773123463181063417842957405, 77496085197746109959484396164
125, 987675950811878112, 765410196318822023507754709, 76730675001427287935976641455
126, 987577183216796925, 757774638842330563926255025, 75972900362584957372050386430
127, 987478425498475246, 750216000305979328320174804, 75222684362278978043730211626
128, 987379677655925399, 742733498380404375788873274, 74479950863898573667941338352
129, 987280939688159807, 735326358768377536235157244, 73744624505130196131706181108
130, 987182211594190992, 727993815121575994495321753, 73016630690008620137210859355
131, 987083493373031573, 720735108958222175666022252, 72295895581050397961544837103
132, 986984785023694270, 713549489581584755760289843, 71582346091468813205784547260
133, 986886086545191901, 706436213999331703993696265, 70875909877469481501790850995
134, 986787397936537382, 699394546843726376816050536, 70176515330625755124974800459
135, 986688719196743729, 692423760292657771070420497, 69484091570333097353904379962
136, 986590050324824055, 685523133991496134169103043, 68798568436341601219735276919
137, 986491391319791573, 678691954975765235588297809, 68119876481365835984146979110
138, 986392742180659594, 671929517594622680899787077, 67447946963771213303247192033
139, 986294102906441529, 665235123435139755321283291, 66782711840336073547925908742
140, 986195473496150885, 658608081247372361138423013, 66124103759088701186787485729
141, 986096853948801270, 652047706870214720123836385, 65472056052218486466663649344
142, 985998244263406390, 645553323158027578910606458, 64826502729060458887753042886
143, 985899644438980050, 639124259908032762812404576, 64187378469152426124940638310
144, 985801054474536152, 632759853788465997463428599, 63554618615363960127477209711
145, 985702474369088699, 626459448267480014082775064, 62928159167096480113394434647
146, 985603904121651791, 620222393542790024114302725, 62307936773553690089280131922
147, 985505343731239626, 614048046472053750634767640, 61693888727081636338645364282
148, 985406793196866503, 607935770503978276438284735, 61085952956577658062207079547
149, 985308252517546817, 601884935610146046836154709, 60484068020967512015370924838
150, 985209721692295063, 595894918217552463437997256, 59888173102749959551932927582
151, 985111200720125834, 589965101141847565565102909, 59298208001608111986367824673
152, 985012689600053822, 584094873521274390610212320, 58714113128086837595757612353
153, 984914188331093817, 578283630751296674714615619, 58135829497335540921042996734
154, 984815696912260708, 572530774419908638551000445, 57563298722915632282491996289
155, 984717215342569482, 566835712243619675269000815, 56996463010672012607222995474
156, 984618743621035226, 561197858004106839256373922, 56435265152667905767966621552
157, 984520281746673123, 555616631485528101652356360, 55879648521182377666314265192
158, 984421829718498456, 550091458412489426491340622, 55329557062769888239822924570
159, 984323387535526607, 544621770388658779544720136, 54784935292381229460278204434
160, 984224955196773055, 539207004836020264938461627, 54245728287545209195339742807
161, 984126532701253378, 533846604934761657223354449, 53711881682610447538116388358
162, 984028120047983253, 528540019563788661911740607, 53183341663046658876204647751
163, 983929717235978455, 523286703241859312232424582, 52660054959804799563972223169
164, 983831324264254858, 518086116069331980822528280, 52141968843735467583149694889
165, 983732941131828433, 512937723670520549977864799, 51629031120064947033171830090
166, 983634567837715251, 507840997136650359504839259, 51121190122928296673666990831
167, 983536204380931480, 502795412969408608874927169, 50618394709958888064792063662
168, 983437850760493387, 497800453025082969043092851, 50120594256933805095748970811
169, 983339506975417338, 492855604459282216066305358, 49627738652474522879682665453
170, 983241173024719797, 487960359672232768538927456, 49139778292802290111143737997
171, 983142848907417326, 483114216254645076194795902, 48656664076547645034948942095
172, 983044534622526585, 478316676934143869672441805, 48178347399613501165276500290
173, 982946230169064333, 473567249522256345956670838, 47704780150091244819319829452
174, 982847935546047427, 468865446861952424888059405, 47235914703229292394431770047
175, 982749650752492823, 464210786775731277723957014, 46771703916453561116707813033
176, 982651375787417574, 459602792014248385847196297, 46312101124439312730860616736
177, 982553110649838833, 455040990205477454784533227, 45857060134233835276076083509
178, 982454855338773850, 450524913804401559836071267, 45406535220429433716240012242
179, 982356609853239973, 446054100043227969147785657, 44960481120386205747092226585
180, 982258374192254650, 441628090882121142707997235, 44518853029504084604384229350
181, 982160148354835425, 437246432960448462368831555, 44081606596543636142015397795
182, 982061932339999942, 432908677548533315180243216, 43648697918995102826835154579
183, 981963726146765943, 428614380499910196583956350, 43220083538495192630251198229
184, 981865529774151267, 424363102204076566070303908, 42795720436291116064180894321
185, 981767343221173852, 420154407539736241308451208, 42375566028751379822872443113
186, 981669166486851735, 415987865828529168947730881, 41959578162922850653924712232
187, 981570999570203050, 411863050789242467215126894, 41547715112133608186709585338
188, 981472842470246030, 407779540492497691977761574, 41139935571641110494731823764
189, 981374695185999006, 403736917315909325844580309, 40736198654325201168887243455
190, 981276557716480407, 399734767899709547528218222, 40336463886425491621359025233
191, 981178430060708759, 395772683102834388460164113, 39940691203322657232898861120
192, 981080312217702689, 391850257959466438702034595, 39548840945363190794196826525
193, 980982204186480919, 387967091636029306906398699, 39160873853727161487290427826
194, 980884105966062271, 384122787388629104391275236, 38776751066338532382899152590
195, 980786017555465665, 380316952520938257670523707, 38396434113817594125228628883
196, 980687938953710119, 376549198342517014386560150, 38019884915475077110842068733
197, 980589870159814748, 372819140127568051791162505, 37647065775347509059050906228
198, 980491811172798767, 369126397074119648587956775, 37277939378273389410462949453
199, 980393761991681488, 365470592263632923225612934, 36912468786009756487237336519
200, 980295722615482320, 361851352621028696600413770, 36550617433388727790636922749
201, 980197693043220772, 358268308875129580551350180, 36192349124513598210085572569
202, 980099673273916450, 354721095519512936791056277, 35837628028994085273294516292
203, 980001663306589059, 351209350773770404391937567, 35486418678220314868902578725
204, 979903663140258401, 347732716545169732020747165, 35138685961675145136881831560
205, 979805672773944376, 344290838390714702066086650, 34794395123284430434815744910
206, 979707692206666982, 340883365479598974314726010, 34453511757804831460501018900
207, 979609721437446316, 337509950556049723111878334, 34116001807248781737389140566
208, 979511760465302572, 334170249902556983447154012, 33781831557346224753941986554
209, 979413809289256042, 330863923303484668058170738, 33450967634042740085883815816
210, 979315867908327117, 327590634009059257141533167, 33123377000033680828742282649
211, 979217936321536285, 324350048699732204588490621, 32799026951333948624153792028
212, 979120014527904132, 321141837450912149487452959, 32477885113883036474666339069
213, 979022102526451342, 317965673698063059550960564, 32159919440184973415115378505
214, 978924200316198697, 314821234202164475750245478, 31845098205982808939365133027
215, 978826307896167078, 311708199015530067874840160, 31533390006967278871490292867
216, 978728425265377462, 308626251447980748847346105, 31224763755519298122642946762
217, 978630552422850925, 305575078033368640053424397, 30919188677485929482589522365
218, 978532689367608640, 302554368496448212358967051, 30616634308989481270230555314
219, 978434836098671880, 299563815720090972989035980, 30317070493269390297241519334
220, 978336992615062013, 296603115712840099549304280, 30020467377556550197692215054
221, 978239158915800507, 293671967576801470075184150, 29726795409979748727617030904
222, 978141334999908927, 290770073475867564349575008, 29436025336503881163267455896
223, 978043520866408937, 287897138604270758478891922, 29148128197899610404788563974
224, 977945716514322297, 285052871155462564414262002, 28863075326744147840374301972
225, 977847921942670865, 282236982291315408494487145, 28580838344452832431879814827
226, 977750137150476598, 279449186111643574223697465, 28301389158341188857656117362
227, 977652362136761551, 276689199624039971653249104, 28024699958717148886002868258
228, 977554596900547875, 273956742714025431528637000, 27750743216003123454474231258
229, 977456841440857821, 271251538115507258832810587, 27479491677887616195641420671
230, 977359095756713736, 268573311381543808876346884, 27210918366506072386765073787
231, 977261359847138065, 265921790855411891143173245, 26944996575650660495621900542
232, 977163633711153352, 263296707641973833831539657, 26681699868008686661790360885
233, 977065917347782237, 260697795579341076642265336, 26421002072429345585148095549
234, 976968210756047459, 258124791210831195888874781, 26162877281218514389259220768
235, 976870513934971855, 255577433757215293202917677, 25907299847461299096056303091
236, 976772826883578358, 253055465089252715031196657, 25654244382372046381025106434
237, 976675149600890001, 250558629700510103052003899, 25403685752671536277973102535
238, 976577482085929912, 248086674680461801526173434, 25155599077991074476446929101
239, 976479824337721320, 245639349687868688043417180, 24909959728303205788403511921
240, 976382176355287548, 243216406924432513681048087, 24666743321378773274722463834
241, 976284538137652020, 240817601108722882345284650, 24425925720270050392377179184
242, 976186909683838255, 238442689450374015591180050, 24187483030819676376785999134
243, 976089290992869872, 236091431624548492134589225, 23951391599195127884651409909
244, 975991682063770586, 233763589746665169881421819, 23717628009448462714769988090
245, 975894082895564209, 231458928347388536149796424, 23486169081101074178620191666
246, 975796493487274653, 229177214347876756513232933, 23256991866753197422106958733
247, 975698913837925926, 226918217035285720099478033, 23030073649717911702007480700
248, 975601343946542134, 224681708038526412862150746, 22805391941679385289145329954
249, 975503783812147480, 222467461304272973185230379, 22582924480375112315960099575
250, 975406233433766266, 220275253073218815582748492, 22362649227301893500377351083
251, 975308692810422890, 218104861856578232538226032, 22144544365445315267839125051
252, 975211161941141848, 215956068412830915915736104, 21928588297032484351923388947
253, 975113640824947734, 213828655724706862401029236, 21714759641307777489522359711
254, 975016129460865240, 211722408976409156190610520, 21503037232331368333331749191
255, 974918627847919154, 209637115531072147630319825, 21293400116800296185701429366
256, 974821135985134363, 207572564908452574562498235, 21085827551891843611138931131
257, 974723653871535850, 205528548762851195039455274, 20880299003128992416099475857
258, 974626181506148697, 203504860861262530622851335, 20676794142267729885476624522
259, 974528718887998083, 201501297061750339789831951, 20475292845205979545686792571
260, 974431266016109284, 199517655292046469869002772, 20275775189913933075817789799
261, 974333822889507674, 197553735528370758925410137, 20078221454385562316892379662
262, 974236389507218724, 195609339774469683116265747, 19882612114611092633776113915
263, 974138965868268003, 193684272040871470709627681, 19688927842570221163066486234
264, 974041551971681177, 191778338324355426280230073, 19497149504245865736786256161
265, 973944147816484009, 189891346587633233745898437, 19307258157658232503040357724
266, 973846753401702361, 188023106739240029931727372, 19119235050918992473108630352
267, 973749368726362191, 186173430613633062017158017, 18933061620305359411091472335
268, 973651993789489555, 184342131951495768525929755, 18748719488353863642565542580
269, 973554628590110607, 182529026380245142886458496, 18566190461973618499679084084
270, 973457273127251596, 180733931394740262305660728, 18385456530578878237373423356
271, 973359927399938871, 178956666338189889165309775, 18206499864240688348208113581
272, 973262591407198878, 177197052383257069064264994, 18029302811857431279143848587
273, 973165265148058159, 175454912513358676353644470, 17853847899344072602790204117
274, 973067948621543354, 173730071504157877787242522, 17680117827839914725002961595
275, 972970641826681200, 172022355905247504974315643, 17508095471934667220028645952
276, 972873344762498532, 170331594022022349433424835, 17337763877912644870595221117
277, 972776057428022283, 168657615897738413447979979, 17169106262014906457147241138
278, 972678779822279481, 167000253295757170789006616, 17002106008719149286358234522
279, 972581511944297254, 165359339681972914038112561, 16836746669037176372320121961
280, 972484253793102825, 163734710207421280406877082, 16673011958829755091913244879
281, 972387005367723515, 162126201691067074218469327, 16510885757138688017694775552
282, 972289766667186743, 160533652602769518946219074, 16350352104535918498748556478
283, 972192537690520025, 158956903046423093569065355, 16191395201489495405179491123
284, 972095318436750973, 157395794743272127180355644, 16033999406746223277999135479
285, 971998108904907298, 155850171015397345416530455, 15878149235730825932582605024
286, 971900909094016808, 154319876769372579112888583, 15723829358961453353469716441
287, 971803719003107407, 152804758480089866839637343, 15571024600481363486630079098
288, 971706538631207097, 151304664174751200824983496, 15419719936306612285805095602
289, 971609367977343977, 149819443417025182877016031, 15269900492889587102928079571
290, 971512207040546243, 148348947291366876696549157, 15121551545598220226231530414
291, 971415055819842189, 146893028387499160291863927, 14974658517210721065939666487
292, 971317914314260205, 145451540785053899396280105, 14829206976425667166543386382
293, 971220782522828779, 144024340038371282073849053, 14685182636387295884469537329
294, 971123660444576497, 142611283161455670111192829, 14542571353225840214358344500
295, 971026548078532040, 141212228613086340829623491, 14401359124612753873528721009
296, 970929445423724187, 139827036282081511451184121, 14261532088330672362077536888
297, 970832352479181815, 138455567472714052337841626, 14123076520857958309739695262
298, 970735269243933897, 137097684890277313639580319, 13985978835967680996100114943
299, 970638195717009504, 135753252626799507085221019, 13850225583340881489014893924
300, 970541131897437804, 134422136146905099113035388, 13715803447193976389901858536
301, 970444077784248061, 133104202273821689161770931, 13582699244920154700740087605
302, 970347033376469637, 131799319175530862899794116, 13450899925744623837840293489
303, 970249998673131991, 130507356351061524749335278, 13320392569393562313090958211
304, 970152973673264678, 129228184616924230991722993, 13191164384776638082099235218
305, 970055958375897352, 127961676093685060327843036, 13063202708682953021771392182
306, 969958952780059763, 126707704192677572222187951, 12936495004490275449549204231
307, 969861956884781758, 125466143602851421229096943, 12811028860887424028320107288
308, 969764970689093280, 124236870277756208341247067, 12686791990609667819978860221
309, 969667994192024371, 123019761422659166840099138, 12563772229187008653138761083
310, 969571027392605169, 121814695481795292741991076, 12441957533705213360396770007
311, 969474070289865909, 120621552125748547069690932, 12321335981579464813327079075
312, 969377122882836923, 119440212238962769602700705, 12201895769340502043724378370
313, 969280185170548640, 118270557907380958778168198, 12083625211433121084946210172
314, 969183257152031586, 117112472406211586363073043, 11966512739026909498583137129
315, 969086338826316383, 115965840187820629330754873, 11850546898839088869252382256
316, 968989430192433752, 114830546869748015881317807, 11735716351969340853371064449
317, 968892531249414509, 113706479222847194255140948, 11622009872746493659115923501
318, 968795641996289568, 112593525159546549503959857, 11509416347586947109611963644
319, 968698762432089940, 111491573722231403715044506, 11397924773864715705896919138
320, 968601892555846732, 110400515071745350219084126, 11287524258792970355677835012
321, 968505032366591148, 109320240476009685118095770, 11178204018316960670559739242
322, 968408181863354489, 108250642298759711825970835, 11069953376018200958733768407
323, 968311341045168154, 107191613988396707696197909, 10962761762029804251037570498
324, 968214509911063638, 106143050066954353797266177, 10856618711962849897240304321
325, 968117688460072532, 105104846119178442441786480, 10751513865843671454798517841
326, 968020876691226525, 104076898781718688887066928, 10647436967061952765911450913
327, 967924074603557403, 103059105732431485360226886, 10544377861329521280551224027
328, 967827282196097048, 102051365679792448589203230, 10442326495649728831962020797
329, 967730499467877439, 101053578352417623897557333, 10341272917297311208064463464
330, 967633726417930652, 100065644488692220268769853, 10241207272808618987795693611
331, 967536963045288859, 99087465826505762878439835, 10142119806982113224917253776
332, 967440209348984331, 98118945093092561733371139, 10044000861889020663183882637
333, 967343465328049433, 97159985994976404815750994, 9946840875894044258368131643
334, 967246730981516629, 96210493208018398610887801, 9850630382686025859757243842
335, 967150006308418478, 95270372367566886363489551, 9755360010318458973393754291
336, 967053291307787637, 94339530058708389139291256, 9661020480259750584254463035
337, 966956585978656859, 93417873806618522958481293, 9567602606453132061295981742
338, 966859890320058994, 92505312067011858201532735, 9475097294386120203094449007
339, 966763204331026989, 91601754216689697085154042, 9383495540169430506009294965
340, 966666528010593887, 90707110544184756103988472, 9292788429625245749905306493
341, 966569861357792828, 89821292240501751188181085, 9202967137384743998717125408
342, 966473204371657049, 88944211389952893214843036, 9114022925994791105502282372
343, 966376557051219884, 88075780961087312255123131, 9025947145033703793247159241
344, 966279919395514763, 87215914797713438995273897, 8938731230235990354251885344
345, 966183291403575212, 86364527610013382183688530, 8852366702625976972068196814
346, 966086673074434855, 85521534965748350882367709, 8766845167660228621185829105
347, 965990064407127412, 84686853281554179605481457, 8682158314378674441580347648
348, 965893465400686700, 83860399814326025423509356, 8598297914564348416156838292
349, 965796876054146632, 83042092652691314743061055, 8515255821911657101413777237
350, 965700296366541218, 82231850708570027892308765, 8433023971203087073521468472
351, 965603726336904564, 81429593708821418451144905, 8351594377494265655070323567
352, 965507165964270874, 80635242186976274460636974, 8270959135307289380609686593
353, 965410615247674447, 79848717475053836849141976, 8191110417832235543760544617
354, 965314074186149680, 79069941695462501243992335, 8112040476136773042516552282
355, 965217542778731066, 78298837752983436593268249, 8033741638383789605923284033
356, 965121021024453193, 77535329326836264491134025, 7956206309056953341432150008
357, 965024508922350748, 76779340862825951826955166, 7879426968194127389605194842
358, 964928006471458513, 76030797565570076846786273, 7803396170628557312758408569
359, 964831513670811368, 75289625390805639733412134, 7728106545237751673024996435
360, 964735030519444287, 74555751037774595116593772, 7653550794199977077908402663
361, 964638557016392343, 73829101941687294876530865, 7579721692258289783031871798
362, 964542093160690704, 73109606266263035387791334, 7506612085992026747644080464
363, 964445638951374635, 72397192896346914329419132, 7434214893095679833314661332
364, 964349194387479498, 71691791430602208669398856, 7362523101665077624645262476
365, 964252759468040751, 70993332174277494352715330, 7291529769490800130292547146
366, 964156334192093947, 70301746132047736334390725, 7221228023358752393958156421
367, 964059918558674738, 69616965000928585914898128, 7151611058357823808043258293
368, 963963512566818871, 68938921163263128966080899, 7082672137194560679077177394
369, 963867116215562190, 68267547679780338495747604, 7014404589514780340581429790
370, 963770729503940634, 67602778282724491010896210, 6946801811232055849570533580
371, 963674352430990240, 66944547369054815223180318, 6879857263863001034347353262
372, 963577984995747141, 66292789993714647898460033, 6813564473869286386448893229
373, 963481627197247567, 65647441862969380480130822, 6747917032006317005968762407
374, 963385279034527843, 65008439327812486584158009, 6682908592678504519384604398
375, 963288940506624391, 64375719377438928751376194, 6618532873301065590633228204
376, 963192611612573729, 63749219632785249180313945, 6554783653668280341452914259
377, 963096292351412472, 63128878340135657220305578, 6491654775328144684232608681
378, 962999982722177331, 62514634364793432944292820, 6429140140963351251288315861
379, 962903682723905114, 61906427184816973735908774, 6367233713778534277552407087
380, 962807392355632724, 61304196884819817233285336, 6305929516893714460319121751
381, 962711111616397161, 60707884149833981686899742, 6245221632743880478632222009
382, 962614840505235522, 60117430259235970795427265, 6185104202484644507836794744
383, 962518579021184999, 59532777080734797273477590, 6125571425403909710563317154
384, 962422327163282881, 58953867064421386486494711, 6066617558339488324076822443
385, 962326084930566553, 58380643236878727311058255, 6008236915102609596765764188
386, 962229852322073497, 57813049195352144711612905, 5950423865907257452054151283
387, 962133629336841290, 57251029101979074408211416, 5893172836805278377645939867
388, 962037415973907606, 56694527678077727180231511, 5836478309127200650465708356
389, 961941212232310216, 56143490198494035925488266, 5780334818928706614540220090
390, 961845018111086985, 55597862486006285217044680, 5724736956442700329323175410
391, 961748833609275877, 55057590905786830028262166, 5669679365536913499294913244
392, 961652658725914950, 54522622359920314768627947, 5615156743176993184526285297
393, 961556493460042359, 53992904281977811990838978, 5561163838895015372535446319
394, 961460337810696355, 53468384631646304414481069, 5507695454263369068120965250
395, 961364191776915286, 52949011889412940941584609, 5454746442373956127179380641
396, 961268055357737595, 52434735051303502626587210, 5402311707322652624552793431
397, 961171928552201822, 51925503623674521090111681, 5350386203698978103462681750
398, 961075811359346602, 51421267618058496823435463, 5298964936080919606639246287
399, 960979703778210668, 50921977546061671501711694, 5248042958534857935137534593
400, 960883605807832847, 50427584414313812952493276, 5197615374120544122185041317
401, 960787517447252064, 49938039719469478497966560, 5147677334401074643687074757
402, 960691438695507339, 49453295443260226330689780, 5098224038957814417356384977
403, 960595369551637789, 48973304047597251523513152, 5049250734910217165832871825
404, 960499310014682626, 48498018469723927598535408, 5000752716440493238234336417
405, 960403260083681158, 48027392117417740801915994, 4952725324323075497432420423
406, 960307219757672790, 47561378864241109030498887, 4905163945458834388401921536
407, 960211189035697023, 47099933044840582688213116, 4858064012413993805713708420
408, 960115167916793454, 46643009450293930216039069, 4811421002963699875497669351
409, 960019156400001775, 46190563323504615945703378, 4765230439640195259551965973
410, 959923154484361775, 45742550354643183327531271, 4719487889285552076224434702
411, 959827162168913339, 45298926676635061146749917, 4674188962608917015077684785
412, 959731179452696448, 44859648860694315834475287, 4629329313748222699243209498
413, 959635206334751179, 44424673911902877678786118, 4584904639836319821564423380
414, 959539242814117704, 43993959264834773640959936, 4540910680571485047923463444
415, 959443288889836293, 43567462779224904602663627, 4497343217792260143320799817
416, 959347344560947310, 43145142735681908924191811, 4454198075056578234396608006
417, 959251409826491216, 42726957831444660094220491, 4411471117225133574302387515
418, 959155484685508567, 42312867176181949743555467, 4369158250048951624558832048
419, 959059569137040017, 41902830287834912948136418, 4327255419761116711610695630
